,Valor,Periodo
33002,45478,2009M01
33001,50506,2009M02
33000,62774,2009M03
32999,75654,2009M04
32998,82502,2009M05
32997,85215,2009M06
32996,113913,2009M07
32995,144399,2009M08
32994,103369,2009M09
32993,84040,2009M10
32992,57506,2009M11
32991,66748,2009M12
32989,61990,2010M01
32988,66980,2010M02
32987,75758,2010M03
32986,104499,2010M04
32985,108910,2010M05
32984,100779,2010M06
32983,152944,2010M07
32982,155082,2010M08
32981,107793,2010M09
32980,96509,2010M10
32979,57490,2010M11
32978,75449,2010M12
32976,64113,2011M01
32975,58756,2011M02
32974,68201,2011M03
32973,92306,2011M04
32972,93750,2011M05
32971,97031,2011M06
32970,117245,2011M07
32969,132626,2011M08
32968,103530,2011M09
32967,77154,2011M10
32966,52476,2011M11
32965,57798,2011M12
32963,50214,2012M01
32962,49442,2012M02
32961,54235,2012M03
32960,74844,2012M04
32959,68629,2012M05
32958,93580,2012M06
32957,104528,2012M07
32956,114007,2012M08
32955,89462,2012M09
32954,71428,2012M10
32953,44309,2012M11
32952,46191,2012M12
32950,45805,2013M01 
32949,49002,2013M02
32948,69791,2013M03
32947,56905,2013M04
32946,76680,2013M05
32945,99239,2013M06
32944,109438,2013M07
32943,124401,2013M08
32942,87115,2013M09
32941,68713,2013M10
32940,57528,2013M11
32939,54294,2013M12
32937,42687,2014M01
32936,43639,2014M02
32935,56674,2014M03
32934,77943,2014M04
32933,92461,2014M05
32932,100803,2014M06
32931,120439,2014M07
32930,137311,2014M08
32929,102573,2014M09
32928,72506,2014M10
32927,54481,2014M11
32926,51878,2014M12
32924,48678,2015M01
32923,51568,2015M02
32922,53561,2015M03
32921,83000,2015M04
32920,98220,2015M05
32919,89290,2015M06
32918,108413,2015M07
32917,130604,2015M08
32916,93360,2015M09
32915,80555,2015M10
32914,51269,2015M11
32913,52680,2015M12
32911,47724,2016M01
32910,47684,2016M02
32909,61400,2016M03
32908,68832,2016M04
32907,89866,2016M05
32906,85664,2016M06
32905,102902,2016M07
32904,109008,2016M08
32903,87381,2016M09
32902,65908,2016M10
32901,45814,2016M11
32900,52817,2016M12
32898,44974,2017M01
32897,45467,2017M02
32896,52796,2017M03
32895,63999,2017M04
32894,69053,2017M05
32893,66684,2017M06
32892,102024,2017M07
32891,103570,2017M08
32890,85154,2017M09
32889,63924,2017M10
32888,45439,2017M11
32887,53803,2017M12
32885,37782,2018M01
32884,39789,2018M02
32883,59916,2018M03
32882,63898,2018M04
32881,70831,2018M05
32880,84502,2018M06
32879,93478,2018M07
32878,114535,2018M08
32877,100658,2018M09
32876,70686,2018M10
32875,43603,2018M11
32874,51180,2018M12
32872,38893,2019M01
32871,37822,2019M02
32870,49733,2019M03
32869,75700,2019M04
32868,86963,2019M05
32867,101422,2019M06
32866,108405,2019M07
32865,131836,2019M08
32864,84722,2019M09
32863,70814,2019M10
32862,51434,2019M11
32861,53798,2019M12
32859,40014,2020M01
32858,49139,2020M02
32857,16843,2020M03
32856,0,2020M04
32855,217,2020M05
32854,6757,2020M06
32853,53274,2020M07
32852,103014,2020M08
32851,73964,2020M09
32850,61513,2020M10
32849,33107,2020M11
32848,38674,2020M12
32846,29039,2021M01
32845,35747,2021M02
32844,45562,2021M03
32843,54920,2021M04
32842,88098,2021M05
32841,96776,2021M06
32840,132097,2021M07
32839,140220,2021M08
32838,111676,2021M09
32837,85336,2021M10
32836,48424,2021M11
32835,55452,2021M12
32833,39313,2022M01
32832,51904,2022M02
